"trialType","displayedVideo","rt","response","trial_index","time_elapsed","question_order","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct"
"prime","video2","170607"," ","2","183386","","","","","","",""
"questionnairePartA","","57447","{""Q0"":4,""Q1"":4,""Q2"":4,""Q3"":1,""Q4"":2,""Q5"":3,""Q6"":4,""Q7"":3,""Q8"":3,""Q9"":0}","3","240836","[0,1,2,3,4,5,6,7,8,9]","","","","","",""
"iat","","1533","j","6","249343","","cake","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","813","f","8","250410","","salad","healthy","healthy","healthy","unhealthy","true"
"iat","","625","j","10","251287","","junk","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","794","f","12","252336","","fish","healthy","healthy","healthy","unhealthy","true"
"iat","","528","f","14","253120","","beans","healthy","healthy","healthy","unhealthy","true"
"iat","","553","f","16","253927","","salad","healthy","healthy","healthy","unhealthy","true"
"iat","","532","f","18","254714","","clean","healthy","healthy","healthy","unhealthy","true"
"iat","","596","f","20","255565","","fast","unhealthy","unhealthy","healthy","unhealthy","false"
"iat","","1627","f","22","257447","","lettuce","healthy","healthy","healthy","unhealthy","true"
"iat","","912","f","24","258614","","fish","healthy","healthy","healthy","unhealthy","true"
"iat","","595","f","26","259463","","apple","healthy","healthy","healthy","unhealthy","true"
"iat","","566","j","28","260283","","grease","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","553","j","30","261090","","candy","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","358","j","32","261703","","corn","healthy","healthy","healthy","unhealthy","false"
"iat","","707","j","34","262665","","candy","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","1477","j","36","264397","","soda","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","519","f","38","265172","","lettuce","healthy","healthy","healthy","unhealthy","true"
"iat","","457","j","40","265883","","soda","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","583","f","42","266722","","beans","healthy","healthy","healthy","unhealthy","true"
"iat","","561","j","44","267538","","sugar","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","788","f","46","268580","","corn","healthy","healthy","healthy","unhealthy","true"
"iat","","660","j","48","269494","","dirty","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","431","j","50","270180","","dirty","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","614","j","52","271048","","salty","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","1763","f","54","273066","","cake","unhealthy","unhealthy","healthy","unhealthy","false"
"iat","","1018","f","56","274338","","chips","unhealthy","unhealthy","healthy","unhealthy","false"
"iat","","1303","f","58","275897","","nutrient","healthy","healthy","healthy","unhealthy","true"
"iat","","510","f","60","276661","","water","healthy","healthy","healthy","unhealthy","true"
"iat","","552","f","62","277468","","clean","healthy","healthy","healthy","unhealthy","true"
"iat","","649","f","64","278371","","nutrient","healthy","healthy","healthy","unhealthy","true"
"iat","","466","f","66","279092","","sugar","unhealthy","unhealthy","healthy","unhealthy","false"
"iat","","916","f","68","280262","","natural","healthy","healthy","healthy","unhealthy","true"
"iat","","572","j","70","281087","","grease","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","522","j","72","281864","","junk","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","718","j","74","282836","","salty","unhealthy","unhealthy","healthy","unhealthy","true"
"iat","","857","f","76","283946","","natural","healthy","healthy","healthy","unhealthy","true"
"iat","","1445","f","79","290053","","obese","fat","fat","fat","fit","true"
"iat","","988","j","81","291294","","small","fit","fit","fat","fit","true"
"iat","","812","f","83","292360","","chubby","fat","fat","fat","fit","true"
"iat","","1005","j","85","293620","","slim","fit","fit","fat","fit","true"
"iat","","1293","f","87","295168","","plump","fat","fat","fat","fit","true"
"iat","","959","j","89","296382","","muscle","fit","fit","fat","fit","true"
"iat","","567","j","91","297202","","thin","fit","fit","fat","fit","true"
"iat","","668","j","93","298123","","light","fit","fit","fat","fit","true"
"iat","","686","f","95","299064","","flabby","fat","fat","fat","fit","true"
"iat","","1894","f","97","301212","","stout","fat","fat","fat","fit","true"
"iat","","1113","j","99","302579","","thin","fit","fit","fat","fit","true"
"iat","","828","f","101","303662","","fat","fat","fat","fat","fit","true"
"iat","","640","j","103","304557","","small","fit","fit","fat","fit","true"
"iat","","773","f","105","305583","","weight","fat","fat","fat","fit","true"
"iat","","1174","j","107","307011","","slim","fit","fit","fat","fit","true"
"iat","","724","f","109","307990","","obese","fat","fat","fat","fit","true"
"iat","","995","f","111","309240","","stout","fat","fat","fat","fit","true"
"iat","","1422","j","113","310916","","tight","fit","fit","fat","fit","true"
"iat","","649","j","115","311819","","lean","fit","fit","fat","fit","true"
"iat","","1095","f","117","313169","","heavy","fat","fat","fat","fit","true"
"iat","","2443","j","119","315865","","gaunt","fit","fit","fat","fit","true"
"iat","","1122","j","121","317242","","muscle","fit","fit","fat","fit","true"
